hour_route_key,weekday,date,count
20 6 N,true,2016-03-22,11
21 5 S,true,2016-03-22,6
21 6 S,true,2016-03-22,9
21 4 N,true,2016-03-22,7
21 4 S,true,2016-03-22,6
21 5 N,true,2016-03-22,6
21 6 N,true,2016-03-22,11
22 6 S,true,2016-03-22,9
22 5 S,true,2016-03-22,5
22 4 S,true,2016-03-22,6
22 4 N,true,2016-03-22,7
22 5 N,true,2016-03-22,6
22 6 N,true,2016-03-22,9
23 6 S,true,2016-03-22,5
23 4 S,true,2016-03-22,5
23 4 N,true,2016-03-22,5
23 6 N,true,2016-03-22,7
23 5 N,true,2016-03-22,2
00 6 N,true,2016-03-23,3
17 4 N,true,2016-03-23,10
00 4 N,true,2016-03-23,1
00 6 S,true,2016-03-23,1
01 4 S,true,2016-03-23,2
01 4 N,true,2016-03-23,2
01 6 S,true,2016-03-23,3
01 6 N,true,2016-03-23,4
02 4 S,true,2016-03-23,4
02 4 N,true,2016-03-23,3
02 6 S,true,2016-03-23,3
02 6 N,true,2016-03-23,3
03 4 N,true,2016-03-23,3
03 6 S,true,2016-03-23,3
03 6 N,true,2016-03-23,3
03 4 S,true,2016-03-23,1
04 4 N,true,2016-03-23,3
04 4 S,true,2016-03-23,4
04 6 S,true,2016-03-23,3
04 6 N,true,2016-03-23,3
05 4 N,true,2016-03-23,5
05 6 S,true,2016-03-23,5
05 4 S,true,2016-03-23,6
05 6 N,true,2016-03-23,4
05 5 S,true,2016-03-23,2
06 6 S,true,2016-03-23,10
06 5 S,true,2016-03-23,7
06 4 N,true,2016-03-23,5
06 4 S,true,2016-03-23,8
06 5 N,true,2016-03-23,3
06 6 N,true,2016-03-23,7
07 5 S,true,2016-03-23,10
07 6 S,true,2016-03-23,16
07 4 N,true,2016-03-23,9
07 4 S,true,2016-03-23,10
07 5 N,true,2016-03-23,6
07 6 N,true,2016-03-23,13
08 5 S,true,2016-03-23,10
08 4 S,true,2016-03-23,13
08 6 S,true,2016-03-23,19
08 4 N,true,2016-03-23,12
08 5 N,true,2016-03-23,8
08 6 N,true,2016-03-23,15
09 5 S,true,2016-03-23,12
09 4 S,true,2016-03-23,14
09 6 S,true,2016-03-23,17
09 5 N,true,2016-03-23,11
09 4 N,true,2016-03-23,10
09 6 N,true,2016-03-23,20
10 5 N,true,2016-03-23,11
10 6 S,true,2016-03-23,15
10 4 S,true,2016-03-23,8
10 4 N,true,2016-03-23,11
10 5 S,true,2016-03-23,7
10 6 N,true,2016-03-23,17
11 5 S,true,2016-03-23,6
11 5 N,true,2016-03-23,8
11 6 S,true,2016-03-23,14
11 4 S,true,2016-03-23,7
11 4 N,true,2016-03-23,10
11 6 N,true,2016-03-23,14
12 5 S,true,2016-03-23,8
12 6 S,true,2016-03-23,15
12 4 S,true,2016-03-23,8
12 4 N,true,2016-03-23,8
12 5 N,true,2016-03-23,7
12 6 N,true,2016-03-23,16
13 5 S,true,2016-03-23,7
13 6 S,true,2016-03-23,15
13 5 N,true,2016-03-23,8
13 4 S,true,2016-03-23,7
13 4 N,true,2016-03-23,8
13 6 N,true,2016-03-23,14
14 5 S,true,2016-03-23,8
14 6 S,true,2016-03-23,15
14 4 S,true,2016-03-23,8
14 5 N,true,2016-03-23,8
14 4 N,true,2016-03-23,7
14 6 N,true,2016-03-23,16
15 5 S,true,2016-03-23,11
15 6 S,true,2016-03-23,15
15 4 S,true,2016-03-23,9
15 5 N,true,2016-03-23,7
15 4 N,true,2016-03-23,8
16 4 N,true,2016-03-23,9
15 6 N,true,2016-03-23,15
16 5 S,true,2016-03-23,11
16 6 S,true,2016-03-23,16
16 4 S,true,2016-03-23,12
16 5 N,true,2016-03-23,10
16 6 N,true,2016-03-23,14
17 6 S,true,2016-03-23,20
17 5 S,true,2016-03-23,8
17 4 S,true,2016-03-23,13
17 5 N,true,2016-03-23,12
17 6 N,true,2016-03-23,18
18 5 N,true,2016-03-23,7
18 6 S,true,2016-03-23,15
18 5 S,true,2016-03-23,6
18 4 N,true,2016-03-23,10
18 4 S,true,2016-03-23,9
